open,close,low,high,volume
161.5675,161.51,161.5095,161.5965,786
161.5105,161.49,161.4835,161.5365,855
161.4905,161.4895,161.471,161.5005,691
161.49,161.4915,161.4725,161.5185,887
161.49,161.493,161.4715,161.506,694
161.4935,161.5275,161.4905,161.5555,534
161.5265,161.5065,161.5,161.533,520
161.507,161.5175,161.4925,161.5405,591
161.517,161.545,161.5085,161.5535,512
161.5445,161.558,161.528,161.5645,679
161.5585,161.4945,161.491,161.5705,733
161.495,161.509,161.488,161.522,518
161.508,161.5145,161.5065,161.544,503
161.5125,161.5275,161.4845,161.5505,629
161.53,161.5315,161.5055,161.5365,472
161.532,161.4825,161.4815,161.5345,947
161.4815,161.497,161.476,161.5055,775
161.4965,161.478,161.474,161.499,493
161.4775,161.453,161.44,161.4875,536
161.4525,161.479,161.45,161.4885,632
161.4785,161.468,161.465,161.5055,727
161.4685,161.4575,161.454,161.482,548
161.457,161.4755,161.4385,161.4775,394
161.4765,161.49,161.475,161.5065,413
161.4895,161.4745,161.447,161.513,618
161.475,161.416,161.415,161.4825,709
161.4165,161.4335,161.4165,161.455,584
161.4345,161.4445,161.4175,161.4565,599
161.442,161.43,161.417,161.4555,503
161.43,161.368,161.359,161.4355,551
161.3695,161.333,161.3245,161.376,729
161.3325,161.265,161.2615,161.3415,1031
161.2655,161.25,161.239,161.2825,564
161.249,161.2575,161.242,161.287,578
161.258,161.2305,161.22,161.271,544
161.231,161.224,161.2085,161.251,586
161.2235,161.183,161.175,161.232,672
161.1825,161.217,161.162,161.2285,682
161.2175,161.273,161.2,161.277,530
161.2725,161.2395,161.234,161.273,374
161.239,161.2165,161.2125,161.2615,586
161.216,161.215,161.1905,161.2265,500
161.2145,161.214,161.188,161.226,521
161.2135,161.2125,161.199,161.259,920
161.2115,161.216,161.145,161.219,1148
161.2165,161.284,161.2135,161.302,1010
161.285,161.3285,161.285,161.351,910
161.3275,161.3345,161.314,161.352,819
161.335,161.3745,161.335,161.3975,927
161.374,161.452,161.365,161.4575,690
161.452,161.4375,161.4195,161.466,728
161.4365,161.4065,161.4045,161.446,487
161.407,161.436,161.4025,161.4515,579
161.4355,161.42,161.411,161.448,639
161.4195,161.373,161.37,161.438,569
161.3725,161.4165,161.3555,161.4165,650
161.416,161.446,161.3995,161.46,597
161.447,161.4155,161.3885,161.454,556
161.417,161.42,161.401,161.4375,598
161.42,161.442,161.401,161.4495,628
161.443,161.435,161.4325,161.4825,529
161.4365,161.44,161.4325,161.4825,634
161.4405,161.426,161.421,161.4755,752
161.4265,161.477,161.401,161.4775,810
161.4765,161.5305,161.4685,161.5335,666
161.531,161.594,161.529,161.611,896
161.595,161.6135,161.546,161.6135,725
161.614,161.6115,161.601,161.636,661
161.6105,161.659,161.6095,161.659,611
161.6585,161.6455,161.6195,161.659,746
161.645,161.571,161.5605,161.6465,802
161.566,161.5285,161.513,161.575,906
161.5275,161.5085,161.489,161.541,740
161.51,161.5275,161.494,161.544,818
161.528,161.4765,161.463,161.529,798
161.477,161.4205,161.4095,161.4785,586
161.42,161.4375,161.407,161.4665,932
161.4385,161.5315,161.4365,161.5345,756
161.531,161.5435,161.526,161.5735,1027
161.544,161.4915,161.487,161.544,808
161.491,161.515,161.4875,161.547,773
161.5155,161.506,161.486,161.5355,790
161.5055,161.562,161.5055,161.575,735
161.5625,161.573,161.5585,161.5965,1083
161.5735,161.5825,161.5495,161.6005,994
161.583,161.6305,161.583,161.6335,1019
161.63,161.5915,161.5675,161.6575,1024
161.592,161.6185,161.589,161.6335,1044
161.6175,161.6045,161.5895,161.6305,851
161.605,161.5485,161.545,161.6055,1028
161.548,161.524,161.517,161.56,926
161.5235,161.6615,161.5145,161.662,868
161.6625,161.588,161.5845,161.6705,961
161.5885,161.676,161.58,161.6915,1138
161.6765,161.626,161.6165,161.6785,1154
161.6255,161.621,161.6095,161.6525,866
161.623,161.64,161.59,161.6435,916
161.6405,161.6575,161.632,161.666,648
161.658,161.656,161.644,161.6745,569
161.6555,161.6735,161.6545,161.6925,506
161.6695,161.6715,161.63,161.696,1131
161.672,161.6195,161.6065,161.7125,1103
161.62,161.6945,161.609,161.728,1141
161.694,161.672,161.63,161.695,1021
161.6715,161.6735,161.629,161.6765,985
161.674,161.603,161.5825,161.6785,1079
161.602,161.6255,161.57,161.6385,1578
161.626,161.6095,161.608,161.6505,1592
161.608,161.599,161.5755,161.6305,1267
161.5995,161.5755,161.5575,161.6195,1012
161.576,161.538,161.5345,161.617,1189
161.5375,161.504,161.4685,161.54,1447
161.5045,161.602,161.497,161.608,1048
161.6025,161.6195,161.595,161.655,1507
161.6185,161.587,161.586,161.635,1016
161.586,161.4775,161.461,161.5935,1554
161.477,161.453,161.428,161.4815,1414
161.4505,161.4735,161.442,161.482,1192
161.473,161.3975,161.3735,161.4805,1408
161.396,161.426,161.384,161.44,1267
161.4265,161.455,161.392,161.4615,1359
161.4545,161.422,161.404,161.472,1010
161.4205,161.429,161.4085,161.448,860
161.4295,161.4455,161.414,161.461,816
161.446,161.4745,161.446,161.5015,877
161.475,161.547,161.475,161.5525,849
161.5465,161.6455,161.5465,161.6625,1095
161.645,161.648,161.623,161.661,1062
161.6485,161.6215,161.604,161.655,877
161.622,161.6015,161.597,161.6405,1289
161.6,161.5635,161.514,161.6,1889
