time,result
2025-04-18 13:56:02,lose
2025-04-18 13:57:02,win
2025-04-18 14:04:02,lose
2025-04-18 14:09:02,win
2025-04-18 14:10:02,lose
2025-04-18 14:11:02,win
2025-04-18 14:12:02,win
2025-04-18 14:15:02,lose
2025-04-18 14:16:02,lose
2025-04-18 14:17:02,win
2025-04-18 14:18:02,win
2025-04-18 14:19:02,win
2025-04-18 14:20:02,win
2025-04-18 14:25:02,lose
2025-04-18 14:29:02,win
2025-04-18 14:38:02,lose
2025-04-18 14:39:02,lose
2025-04-18 14:40:02,lose
2025-04-18 14:41:02,lose
2025-04-18 15:09:02,lose
2025-04-18 15:17:02,win
2025-04-18 15:20:02,win
2025-04-18 15:24:02,lose
2025-04-18 15:27:02,lose
2025-04-18 15:37:02,win
2025-04-18 15:38:02,lose
2025-04-18 15:41:02,win
2025-04-18 15:42:02,lose
2025-04-18 15:43:02,lose
2025-04-18 15:44:02,win
2025-04-18 15:47:02,win
2025-04-18 15:58:02,win
2025-04-18 15:59:02,win
2025-04-18 16:00:02,win
2025-04-18 16:01:02,win
2025-04-18 16:02:02,win
2025-04-18 16:05:02,win
2025-04-18 16:10:02,win
2025-04-18 16:13:02,lose
2025-04-18 16:22:02,win
2025-04-18 16:49:02,win
2025-04-18 16:50:02,win
2025-04-18 16:57:02,win
2025-04-18 17:02:02,lose
2025-04-18 17:03:02,lose
2025-04-18 17:04:02,win
2025-04-18 17:10:02,lose
2025-04-18 17:11:02,win
2025-04-18 17:14:02,lose
2025-04-18 17:15:02,win
2025-04-18 17:16:02,lose
2025-04-18 17:21:02,win
2025-04-18 17:22:02,lose
2025-04-18 17:23:02,lose
2025-04-18 17:30:02,lose
2025-04-18 17:31:02,lose
2025-04-18 17:37:02,lose
2025-04-18 17:38:02,win
2025-04-18 17:41:02,lose
2025-04-18 17:42:02,win
2025-04-18 17:43:02,lose
2025-04-18 17:44:02,win
2025-04-18 17:48:02,win
2025-04-18 17:49:02,lose
2025-04-18 17:54:02,win
